Şirket,Bulunduğu Bölge/Ülke,Tesis Adı,Adres
Kordsa,Kuzey Amerika,Advanced Honeycomb Technologies Corporation ,"1015 Linda Vista Drive, Building C San Marcos California. USA. 92078"
Kordsa,Güney Amerika,Brezilya,"Rua Eteno nº 3832 Polo Industrial de Camaçari Camaçari/ BA/ Brazil CEP 42810-000"
Kordsa,Asya Pasifik,Endonezya,"PT Indo Kordsa Tbk Jl. Pahlawan/ Desa Karang Asem Timur/ Citeureup/ Bogor 16810"
Kordsa,Asya Pasifik,Tayland,"Thai Indo Kordsa Co. Ltd. Rojana Industrial Park/ 1/61 Moo 5 Khanham Subdistrict/ Uthai District Ayutthaya 13210"
Kordsa,Asya Pasifik,Çin,"Kordsa Shanghai Representative Office Regus Henderson 688 16/F/ Room1666s/ No.688 West Nanjing Road Jin'an District Shanghai China"
Brisa,Türkiye,İzmit Fabrika,Alikahya Fatih Mahallesi Sanayi Caddesi No:98 41310 İzmit-KOCAELİ
Brisa,Türkiye,Aksaray Fabrika,Erenler OSB Mahallesi Recep Tayyip Erdoğan Bulvarı No:21/1 Taşpınar-Merkez/AKSARAY
Brisa,Türkiye,Genel Müdürlük,Küçük Çamlıca Mahallesi Şehit İsmail Moray Sokak Temsa Sitesi NO:2/1 Üsküdar-İSTANBUL
Temsa,Türkiye,İstanbul,"Kısıklı Cad./ Şht. İsmail Moray Sk./ 34662 Üsküdar/İstanbul "
Temsa,Türkiye,Adana,"Sarıhamzalı Mahallesi/ Turhan Cemal Beriker Blv. 563/A/ 01110 Seyhan/Adana /Türkiye"
Yünsa Yünlü Sanayi ve Ticaret A.Ş.,Türkiye,Fabrika,Çerkezköy Organize Sanayi Bölgesi Gazi Osman Paşa M. 2.Cadde No:9 59500
Yünsa Yünlü Sanayi ve Ticaret A.Ş.,Türkiye,Genel Müdürlük,Sabancı Center Kat 19 4. Levent 34330 İstanbul/Türkiye
Akçansa,Türkiye,Büyükçekmece Fabrika,Mimarsinan Merkez Mah. Marmara Cad. No: 13 Büyükçekmece / İSTANBUL
Akçansa,Türkiye,Çanakkale Fabrika,Mahmudiye Beldesi 17640 Ezine / ÇANAKKALE
Akçansa,Türkiye,Samsun Ladik Fabrika,İskaniye Mah. Akpınar Mevkii Ladik / SAMSUN
Çimsa,Türkiye,Ankara Fabrikası,Karşıyaka Mah. Fırat Cad. No: 3 Lalahan Ankara
Çimsa,Türkiye,Eskişehir Fabrikası,İstanbul Karayolu 22. Km Çukurhisar Eskişehir
Çimsa,Türkiye,Kayseri Fabrikası,Kayseri-Bünyan yolu 35. Km Bünyan Kayseri
Çimsa,Türkiye,Mersin Fabrikası,Toroslar Mah. Tekke Cad. Yenitaşkent Mersin
Çimsa,Türkiye,Niğde Fabrikası,Hacı Sabancı Bulvarı Niğde
Çimsa,Türkiye,Afyon Çimento San. Türk A.Ş,Halımoru Köyü Almacık Mevki Afyonkarahisar
Çimsa,Almanya,Çimsa Cement Sales North GmbH,"Schellerdamm 18, 21079 Hamburg / Almanya"
Çimsa,KKTC,Çimsa Cement Free Zone Ltd,"Serbest Liman, Gazi Magosa / KKTC"
Çimsa,İtalya,ÇİMSA - Adriatico S.R.L.,"Riva Cadamosto, 8 - 34147 Trieste / İtalya"
Çimsa,Romanya,CİMSAROM Marketing Distributie S.R.L.,"Bd Mamaia/ Ofice Nr 5/ Nr 251 Et 4/ Constanta / Romanya"
Çimsa,İspanya ,Çimsa Cementos Espana S.A.U,Puerto De Alicante (Prolongación sur) Muelle 21-Parcela 1 03008 Alicante / İspanya
Çimsa,Rusya,ÇİMSA-RUS Cement Trading Company Limited,"Malozemelskaya Str/ No: 16/ 353900 Novorossiysk / Rusya"
Philip Morris SA,Türkiye,,Ord. Prof. Dr. Fahrettin Kerim Gökay Caddesi No:58-58/1 Küçükçamlıca Üsküdar 34692
PHILSA,Türkiye,,"7 Eylül Mahallesi, Philsa Caddesi No: 32 35860 Torbalı / İzmir"
